ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
611,1980,41,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Regional,80%,80%,20%,100% - All of my time,80%,Yes,Yes,80%,80%,Yes,70%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Somewhat likely,Somewhat likely,1,4,2,10,7,1,5,2,9,7,Yes,0.56,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly worsened,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
612,1981,40,Female,More than 5 years,Construction,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,20%,10%,Less than 10% of my time,100% - All of my time,Yes,No,,,Yes,60%,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly Positive,They are about the same,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2,8,3,3,8,2,8,4,5,5,Yes,0.05,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Somewhat disagree,Yes,No,,,,,,,,,,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
614,1995,26,Male,Between 6 and 12 months,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Single person,Metro,40%,60%,40%,70%,50% - About half of my time,No,Yes,20%,30%,No,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,My direct manger(s),Very likely,Very unlikely,Very likely,1,10,3,2,8,0,10,2,2,10,Yes,0.1,Somewhat worsened,Somewhat improved,Significantly improved,Significantly improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
615,1987,34,Female,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,60%,20%,100% - I spent all of my time remote working,20%,I would prefer not to work remotely,Yes,Yes,40%,50% - About half of my time,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,1,9,3,3,8,0,9,3,4,8,No,,Somewhat improved,Stayed about the same,Stayed about the same,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
620,1977,44,Female,More than 5 years,Manufacturing,Clerical and administrative workers - Office Managers and Program Administrators,Between 5 and 19,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,50% - About half of my time,50% - About half of my time,Yes,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,8,1,6,8,1,8,1,6,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
621,1984,37,Female,More than 5 years,Health Care and Social Assistance,Managers - Specialist Managers,Between 5 and 19,Couple with dependent children,Metro,Less than 10% of my time,50% - About half of my time,Less than 10% of my time,50% - About half of my time,50% - About half of my time,No,No,,,Yes,80%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat Negative,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly Negative,They are about the same,Very unlikely,Very unlikely,Somewhat unlikely,1,8,4,4,7,1,8,4,4,7,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat disagree,Somewhat agree,Somewhat agree,Yes,No,,,,,,,,,,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
625,1989,32,Male,Between 1 and 5 years,"Transport, Postal and Warehousing",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,80%,50% - About half of my time,40%,90%,90%,Yes,Yes,90%,90%,No,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Very likely,Neither unlikely or likely,Somewhat likely,1,9,2,4,8,1,9,2,5,7,No,,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
628,1961,60,Male,More than 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,30%,30%,30%,30%,No,Yes,50% - About half of my time,30%,Yes,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,8,1,8,6,1,8,1,8,6,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,I’m 30% less productive when working remotely,I’m 30% less productive when working remotely
629,1961,60,Male,Between 1 and 5 years,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,50% - About half of my time,100% - I spent all of my time remote working,50% - About half of my time,20%,No,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,0,14,2,2,6,0,14,1,2,7,Yes,0.05,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
631,1994,27,Male,Between 1 and 5 years,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Couple with dependent children,Metro,20%,20%,20%,30%,50% - About half of my time,Yes,Yes,30%,80%,Yes,30%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,1,10,4,1,8,0,5,2,8,9,No,,Somewhat improved,Significantly improved,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat improved,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
632,1990,31,Male,Between 6 and 12 months,"Electricity, Gas, Water and Waste","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Couple with dependent children,Metro,40%,40%,30%,10%,10%,Yes,Yes,30%,30%,Yes,20%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Positive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Very likely,Neither unlikely or likely,Somewhat unlikely,3,8,3,2,8,2,9,1,4,8,Yes,0.25,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Significantly improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat improved,Significantly worsened,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Yes,No,,,,,,,,,,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
633,2000,21,Male,Between 6 and 12 months,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 1 and 4,Couple with dependent children,Regional,10%,20%,80%,70%,90%,Yes,Yes,20%,20%,Yes,20%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,3,6,3,3,9,4,6,2,6,6,Yes,0.08,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
634,1981,40,Female,Between 1 and 5 years,Construction,Professionals - Education Professionals,More than 200,One parent family with dependent children,Metro,30%,40%,50% - I spent about half of my time remote working,60%,70%,Yes,Yes,40%,30%,Yes,20%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Very likely,Very likely,Somewhat likely,6,3,3,4,8,7,3,3,3,8,No,,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
